Value,Disaggregation combinations using this value,Number of indicators
ZW00,3,1
ZW01,3,1
ZW02,3,1
ZW03,3,1
ZW04,3,1
ZW05,3,1
ZW06,3,1
ZW07,3,1
ZW08,3,1
ZW09,3,1
