Year,SOURCE_DETAIL,Reference area,Value
2019,MICS(2019),,32.0
2022,"Zimstat, 2022 PHC",,9.5
2022,"Zimstat, 2022 PHC",Bulawayo,8.1
2022,"Zimstat, 2022 PHC",Manicaland,9.2
2022,"Zimstat, 2022 PHC",Mashonaland Central,10.7
2022,"Zimstat, 2022 PHC",Masholanad East,11.1
2022,"Zimstat, 2022 PHC",Mashonaland West,9.8
2022,"Zimstat, 2022 PHC",Matabeland North,6.0
2022,"Zimstat, 2022 PHC",Matabeland South,5.3
2022,"Zimstat, 2022 PHC",Midlands,10.2
2022,"Zimstat, 2022 PHC",Masvingo,9.9
2022,"Zimstat, 2022 PHC",Harare,9.0
