Year,SOURCE_DETAIL,Age,Value
2019,ZIMSTAT,20 to 24 years old,33.7
2022,"Zimstat, 2022 PHC",20 to 24 years old,16.2
2015,ZIMSTAT,,31.9
2019,ZIMSTAT,,37.7
