Year,Reference area,Value
2022,,362
2022,Bulawayo,248
2022,Manicaland,248
2022,Mashonaland Central,292
2022,Masholanad East,401
2022,Mashonaland West,377
2022,Matabeland North,365
2022,Matabeland South,375
2022,Midlands,424
2022,Masvingo,377
2022,Harare,303
