Year,Reference area,Value
2020,,29.3
2020,Bulawayo,60.3
2020,Manicaland,17.8
2020,Mashonaland Central,15.6
2020,Masholanad East,21.7
2020,Mashonaland West,22.8
2020,Matabeland North,22.0
2020,Matabeland South,34.4
2020,Midlands,25.0
2020,Masvingo,20.0
2020,Harare,53.8
