Year,Reference area,Sex,Value
2023,,Male,39.8
2023,ZW00,Male,36.6
2023,ZW01,Male,41.1
2023,ZW02,Male,40.3
2023,ZW03,Male,36.4
2023,ZW04,Male,42.5
2023,ZW05,Male,53.1
2023,ZW06,Male,43.3
2023,ZW07,Male,42.3
2023,ZW08,Male,38.5
2023,ZW09,Male,32.1
2023,,Female,51.1
2023,ZW00,Female,42.4
2023,ZW01,Female,49.9
2023,ZW02,Female,55.8
2023,ZW03,Female,51.5
2023,ZW04,Female,57.3
2023,ZW05,Female,64.0
2023,ZW06,Female,59.5
2023,ZW07,Female,51.4
2023,ZW08,Female,51.5
2023,ZW09,Female,42.2
2023,,,45.4
2023,ZW00,,39.8
2023,ZW01,,45.5
2023,ZW02,,47.4
2023,ZW03,,43.8
2023,ZW04,,49.5
2023,ZW05,,57.9
2023,ZW06,,52.1
2023,ZW07,,46.8
2023,ZW08,,44.8
2023,ZW09,,37.7
