Year,REF_AREA,Value
2020,,29.3
2020,ZW00,60.3
2020,ZW01,17.8
2020,ZW02,15.6
2020,ZW03,21.7
2020,ZW04,22.8
2020,ZW05,22.0
2020,ZW06,34.4
2020,ZW07,25.0
2020,ZW08,20.0
2020,ZW09,53.8
