Year,SDG Series,Value
2019,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio) [4.5.1]",1.0
2019,Adjusted language test parity index for achieving a minimum proficiency level in reading and mathematics (ratio) [4.5.1],1.19
